         EPS      Labmda       Sigma       Omega          HI       LOS:      TIMELOS     IterLOS         LU:      TIMELU
       1e-14      800000       10000       10000       1e-11       LOS:     0.010423           0         LU:    0.633672
       1e-14      800000       10000       10000       1e-10       LOS:     0.010724           0         LU:     0.60218
       1e-14      800000       10000       1e+09    8.81e-12       LOS:     0.015249           1         LU:    0.603023
       1e-14      800000       10000       1e+09       1e-11       LOS:     0.014517           1         LU:    0.644136
       1e-14      800000       10000       1e+09       1e-10       LOS:     0.015175           1         LU:    0.603618
       1e-14      800000       1e+08      0.0001    8.81e-12       LOS:     0.020019           1         LU:    0.609522
       1e-14      800000       1e+08      0.0001       1e-11       LOS:     0.014381           1         LU:     0.59213
       1e-14      800000       1e+08      0.0001       1e-10       LOS:     0.014833           1         LU:    0.604928
       1e-14      800000       1e+08           1    8.81e-12       LOS:     0.010981           0         LU:    0.604083
       1e-14      800000       1e+08           1       1e-11       LOS:     0.010438           0         LU:    0.593945
       1e-14      800000       1e+08           1       1e-10       LOS:     0.011033           0         LU:    0.608726
       1e-14      800000       1e+08       10000    8.81e-12       LOS:     0.015273           1         LU:    0.597048
       1e-14      800000       1e+08       10000       1e-11       LOS:     0.014896           1         LU:    0.605606
       1e-14      800000       1e+08       10000       1e-10       LOS:      0.01479           1         LU:    0.611137
       1e-14      800000       1e+08       1e+09    8.81e-12       LOS:     0.014797           1         LU:    0.607524
       1e-14      800000       1e+08       1e+09       1e-11       LOS:     0.014739           1         LU:    0.598572
       1e-14      800000       1e+08       1e+09       1e-10       LOS:     0.014858           1         LU:    0.650964
